open_time,open,high,low,close,volume,spread,real_volume
2018-07-25 05:00:00,111.308,111.335,111.286,111.313,612,0,0
2018-07-25 06:00:00,111.314,111.331,111.28,111.293,659,0,0
2018-07-25 07:00:00,111.294,111.295,111.156,111.218,970,0,0
2018-07-25 08:00:00,111.217,111.243,111.156,111.173,1304,0,0
2018-07-25 09:00:00,111.174,111.292,111.141,111.266,1407,0,0
2018-07-25 10:00:00,111.267,111.321,111.216,111.216,1180,0,0
2018-07-25 11:00:00,111.215,111.215,111.046,111.155,1427,0,0
2018-07-25 12:00:00,111.154,111.22,111.096,111.115,878,0,0
2018-07-25 13:00:00,111.114,111.12,111.026,111.056,1078,0,0
2018-07-25 14:00:00,111.055,111.108,110.997,111.069,1260,0,0
2018-07-25 15:00:00,111.068,111.101,110.944,111.066,2074,0,0
2018-07-25 16:00:00,111.064,111.127,110.835,110.947,3185,0,0
2018-07-25 17:00:00,110.946,111.038,110.9,111.037,2918,0,0
2018-07-25 18:00:00,111.036,111.06,110.953,110.99,1469,0,0
2018-07-25 19:00:00,110.989,111.002,110.679,110.78,2684,0,0
2018-07-25 20:00:00,110.778,110.888,110.743,110.845,1940,0,0
2018-07-25 21:00:00,110.846,111.009,110.793,110.98,2510,0,0
2018-07-25 22:00:00,110.979,111.095,110.917,110.982,1342,0,0
2018-07-25 23:00:00,110.983,111.061,110.849,110.876,3615,0,0
2018-07-26 00:00:00,110.875,110.988,110.875,110.926,1016,0,0
2018-07-26 01:00:00,110.927,110.934,110.852,110.855,696,0,0
2018-07-26 02:00:00,110.861,110.897,110.723,110.761,1696,0,0
2018-07-26 03:00:00,110.76,110.892,110.751,110.828,1163,0,0
2018-07-26 04:00:00,110.827,110.864,110.78,110.781,742,0,0
2018-07-26 05:00:00,110.78,110.818,110.757,110.802,468,0,0
2018-07-26 06:00:00,110.803,110.819,110.764,110.808,404,0,0
2018-07-26 07:00:00,110.809,110.818,110.662,110.683,1438,0,0
2018-07-26 08:00:00,110.684,110.76,110.602,110.686,1869,0,0
2018-07-26 09:00:00,110.687,110.737,110.656,110.71,1279,0,0
2018-07-26 10:00:00,110.709,110.752,110.664,110.728,1160,0,0
2018-07-26 11:00:00,110.729,110.892,110.728,110.809,1005,0,0
2018-07-26 12:00:00,110.808,110.859,110.787,110.838,734,0,0
2018-07-26 13:00:00,110.839,110.877,110.821,110.873,972,0,0
2018-07-26 14:00:00,110.872,110.985,110.835,110.985,2213,0,0
2018-07-26 15:00:00,110.987,111.116,110.947,111.07,2563,0,0
2018-07-26 16:00:00,111.071,111.194,111.054,111.068,2279,0,0
2018-07-26 17:00:00,111.067,111.218,111.059,111.218,1709,0,0
2018-07-26 18:00:00,111.219,111.222,111.095,111.106,1107,0,0
2018-07-26 19:00:00,111.105,111.234,111.095,111.191,1253,0,0
2018-07-26 20:00:00,111.192,111.258,111.181,111.24,785,0,0
2018-07-26 21:00:00,111.241,111.258,111.18,111.256,502,0,0
2018-07-26 22:00:00,111.255,111.257,111.208,111.237,414,0,0
2018-07-26 23:00:00,111.238,111.255,111.23,111.254,239,0,0
2018-07-27 00:00:00,111.253,111.253,111.193,111.213,375,0,0
2018-07-27 01:00:00,111.214,111.251,111.139,111.167,564,0,0
2018-07-27 02:00:00,111.168,111.205,111.11,111.139,1035,0,0
2018-07-27 03:00:00,111.14,111.14,110.972,110.981,1518,0,0
2018-07-27 04:00:00,110.98,111.018,110.964,110.99,685,0,0
2018-07-27 05:00:00,110.991,111.009,110.931,111.003,435,0,0
2018-07-27 06:00:00,111.002,111.088,110.989,111.028,497,0,0
2018-07-27 07:00:00,111.029,111.187,111.029,111.102,1280,0,0
2018-07-27 08:00:00,111.104,111.143,111.009,111.032,1156,0,0
2018-07-27 09:00:00,111.031,111.083,110.953,111.041,1315,0,0
2018-07-27 10:00:00,111.04,111.211,111.04,111.201,1209,0,0
2018-07-27 11:00:00,111.202,111.229,111.169,111.208,975,0,0
2018-07-27 12:00:00,111.209,111.21,111.134,111.175,728,0,0
2018-07-27 13:00:00,111.176,111.211,111.162,111.186,578,0,0
2018-07-27 14:00:00,111.185,111.256,110.967,110.998,2712,0,0
2018-07-27 15:00:00,110.996,111.047,110.917,110.998,2349,0,0
2018-07-27 16:00:00,110.997,111.067,110.958,110.979,2204,0,0
2018-07-27 17:00:00,110.978,111.046,110.919,110.955,1348,0,0
2018-07-27 18:00:00,110.956,110.994,110.853,110.856,1236,0,0
2018-07-27 19:00:00,110.855,110.993,110.81,110.982,1139,0,0
2018-07-27 20:00:00,110.981,111.027,110.939,111.001,936,0,0
2018-07-27 21:00:00,111.002,111.026,110.978,111.003,861,0,0
2018-07-27 22:00:00,111.004,111.044,110.981,111.043,397,0,0
2018-07-30 00:00:00,111.02,111.023,110.959,110.977,813,0,0
2018-07-30 01:00:00,110.976,110.995,110.924,110.955,459,0,0
2018-07-30 02:00:00,110.956,111.066,110.904,111.033,1229,0,0
2018-07-30 03:00:00,111.032,111.11,111.018,111.069,954,0,0
2018-07-30 04:00:00,111.071,111.156,111.069,111.097,694,0,0
2018-07-30 05:00:00,111.096,111.156,111.09,111.128,550,0,0
2018-07-30 06:00:00,111.129,111.175,111.062,111.092,617,0,0
2018-07-30 07:00:00,111.093,111.142,111.034,111.057,795,0,0
2018-07-30 08:00:00,111.058,111.146,111.049,111.132,779,0,0
2018-07-30 09:00:00,111.133,111.157,111.034,111.045,1177,0,0
2018-07-30 10:00:00,111.044,111.113,111.029,111.087,714,0,0
2018-07-30 11:00:00,111.086,111.128,111.049,111.065,800,0,0
2018-07-30 12:00:00,111.066,111.112,111.033,111.111,631,0,0
2018-07-30 13:00:00,111.11,111.11,111.052,111.092,869,0,0
2018-07-30 14:00:00,111.093,111.139,111.063,111.068,977,0,0
2018-07-30 15:00:00,111.069,111.092,110.964,110.98,1216,0,0
2018-07-30 16:00:00,110.981,111.032,110.934,110.995,1379,0,0
2018-07-30 17:00:00,110.996,111.018,110.962,110.997,1017,0,0
2018-07-30 18:00:00,110.996,111.022,110.954,110.954,756,0,0
2018-07-30 19:00:00,110.953,110.996,110.935,110.972,559,0,0
2018-07-30 20:00:00,110.973,111.026,110.943,111.024,650,0,0
2018-07-30 21:00:00,111.025,111.08,111.011,111.068,507,0,0
2018-07-30 22:00:00,111.069,111.104,111.055,111.069,376,0,0
2018-07-30 23:00:00,111.067,111.114,111.025,111.065,2504,0,0
2018-07-31 00:00:00,111.064,111.065,111.031,111.034,331,0,0
2018-07-31 01:00:00,111.033,111.056,110.994,111.012,425,0,0
2018-07-31 02:00:00,111.011,111.015,110.918,110.964,1232,0,0
2018-07-31 03:00:00,110.963,111.079,110.963,111.04,1189,0,0
2018-07-31 04:00:00,111.041,111.118,110.94,111.03,1100,0,0
2018-07-31 05:00:00,111.031,111.241,110.816,110.892,2217,0,0
2018-07-31 06:00:00,110.893,111.447,110.763,111.056,6955,0,0
2018-07-31 07:00:00,111.055,111.275,111.051,111.267,1579,0,0
2018-07-31 08:00:00,111.268,111.471,111.076,111.13,3791,0,0
2018-07-31 09:00:00,111.129,111.423,111.082,111.414,2420,0,0
2018-07-31 10:00:00,111.413,111.569,111.366,111.551,1655,0,0
2018-07-31 11:00:00,111.55,111.601,111.473,111.525,1161,0,0
2018-07-31 12:00:00,111.524,111.593,111.485,111.558,1051,0,0
2018-07-31 13:00:00,111.557,111.563,111.445,111.523,1049,0,0
2018-07-31 14:00:00,111.522,111.538,111.423,111.518,1401,0,0
2018-07-31 15:00:00,111.52,111.928,111.511,111.923,3688,0,0
2018-07-31 16:00:00,111.924,111.957,111.831,111.95,2357,0,0
2018-07-31 17:00:00,111.949,111.968,111.88,111.906,1618,0,0
2018-07-31 18:00:00,111.907,111.93,111.808,111.812,1146,0,0
2018-07-31 19:00:00,111.811,111.897,111.811,111.883,964,0,0
2018-07-31 20:00:00,111.882,111.882,111.791,111.83,716,0,0
2018-07-31 21:00:00,111.834,111.858,111.724,111.821,1021,0,0
2018-07-31 22:00:00,111.822,111.893,111.789,111.877,465,0,0
2018-07-31 23:00:00,111.87,111.884,111.813,111.851,3453,0,0
2018-08-01 00:00:00,111.85,111.906,111.726,111.777,901,0,0
2018-08-01 01:00:00,111.778,111.845,111.717,111.845,1268,0,0
2018-08-01 02:00:00,111.843,111.878,111.799,111.833,1152,0,0
2018-08-01 03:00:00,111.832,111.911,111.753,111.765,1321,0,0
2018-08-01 04:00:00,111.766,111.91,111.766,111.907,851,0,0
2018-08-01 05:00:00,111.906,111.979,111.868,111.954,635,0,0
2018-08-01 06:00:00,111.953,111.996,111.913,111.991,684,0,0
2018-08-01 07:00:00,111.99,112.007,111.917,111.999,800,0,0
2018-08-01 08:00:00,112.0,112.142,112.0,112.142,1609,0,0
2018-08-01 09:00:00,112.143,112.161,112.078,112.124,1178,0,0
2018-08-01 10:00:00,112.123,112.123,112.009,112.015,885,0,0
2018-08-01 11:00:00,112.017,112.047,111.965,112.014,1022,0,0
2018-08-01 12:00:00,112.015,112.015,111.886,111.895,730,0,0
2018-08-01 13:00:00,111.896,111.925,111.816,111.909,1013,0,0
2018-08-01 14:00:00,111.908,111.951,111.854,111.938,1623,0,0
2018-08-01 15:00:00,111.939,112.021,111.921,111.967,1545,0,0
2018-08-01 16:00:00,111.965,112.0,111.869,111.999,1915,0,0
2018-08-01 17:00:00,111.998,111.998,111.719,111.744,1800,0,0
2018-08-01 18:00:00,111.743,111.752,111.649,111.684,1597,0,0
2018-08-01 19:00:00,111.685,111.747,111.645,111.681,946,0,0
2018-08-01 20:00:00,111.682,111.723,111.402,111.568,2580,0,0
2018-08-01 21:00:00,111.567,111.664,111.541,111.634,940,0,0
2018-08-01 22:00:00,111.636,111.758,111.559,111.732,841,0,0
2018-08-01 23:00:00,111.733,111.743,111.692,111.705,3259,0,0
2018-08-02 00:00:00,111.704,111.713,111.674,111.682,319,0,0
2018-08-02 01:00:00,111.683,111.689,111.609,111.655,521,0,0
2018-08-02 02:00:00,111.654,111.712,111.635,111.705,939,0,0
2018-08-02 03:00:00,111.706,111.722,111.554,111.575,1036,0,0
2018-08-02 04:00:00,111.574,111.687,111.573,111.649,781,0,0
2018-08-02 05:00:00,111.648,111.661,111.537,111.556,828,0,0
2018-08-02 06:00:00,111.558,111.613,111.531,111.607,827,0,0
2018-08-02 07:00:00,111.606,111.663,111.572,111.58,1434,0,0
2018-08-02 08:00:00,111.579,111.661,111.549,111.659,1118,0,0
2018-08-02 09:00:00,111.657,111.744,111.626,111.626,1220,0,0
2018-08-02 10:00:00,111.625,111.667,111.564,111.572,1033,0,0
2018-08-02 11:00:00,111.573,111.601,111.508,111.519,1205,0,0
2018-08-02 12:00:00,111.52,111.531,111.451,111.485,1005,0,0
2018-08-02 13:00:00,111.484,111.53,111.444,111.46,1578,0,0
2018-08-02 14:00:00,111.459,111.463,111.33,111.406,2195,0,0
2018-08-02 15:00:00,111.407,111.462,111.35,111.447,1425,0,0
2018-08-02 16:00:00,111.448,111.526,111.431,111.467,1881,0,0
2018-08-02 17:00:00,111.468,111.505,111.434,111.491,1471,0,0
